                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.44017,                0.30105,                0.86927,                0.88293,                0.74603,                0.83136,                0.47239,                 1.6712,                0.84899,                 1.7663,               0.005512,               0.005512,               0.005512
                    138,                 0.4393,                 0.2953,                0.85301,                0.86375,                0.80506,                0.84759,                 0.4558,                 1.7151,                0.82427,                 1.8169,               0.005479,               0.005479,               0.005479
                    139,                0.43348,                 0.2959,                0.84403,                0.88667,                0.80952,                0.83332,                0.45871,                 1.7467,                0.78106,                  1.813,               0.005446,               0.005446,               0.005446
                    140,                0.41157,                0.28632,                0.84749,                0.83702,                0.81523,                 0.8379,                0.47284,                 1.6593,                    0.8,                 1.7068,               0.005413,               0.005413,               0.005413
                    141,                0.41427,                0.28666,                0.84796,                0.86321,                0.80139,                0.83052,                0.47487,                 1.7273,                0.80759,                 1.7826,                0.00538,                0.00538,                0.00538
                    142,                0.43905,                 0.3003,                0.85451,                0.86374,                0.73016,                0.80353,                0.46889,                  1.676,                0.84021,                   1.77,               0.005347,               0.005347,               0.005347
                    143,                0.42761,                0.28601,                 0.8436,                  0.868,                0.74603,                0.81816,                 0.4636,                  1.698,                  0.872,                 1.7529,               0.005314,               0.005314,               0.005314
                    144,                0.41819,                0.28791,                0.84845,                0.86437,                0.80929,                0.83286,                0.46816,                 1.7017,                0.87347,                 1.7921,               0.005281,               0.005281,               0.005281
                    145,                0.41299,                0.28745,                0.84857,                0.84203,                0.77778,                0.80738,                0.45105,                 1.8263,                0.88187,                 1.8906,               0.005248,               0.005248,               0.005248
                    146,                0.41524,                0.29562,                0.85492,                 0.8927,                 0.7924,                0.85272,                 0.4588,                 1.7878,                0.88738,                 1.8582,               0.005215,               0.005215,               0.005215
                    147,                 0.4152,                 0.2889,                0.84976,                0.87016,                0.77778,                0.84594,                0.45912,                 1.7614,                0.84187,                 1.8198,               0.005182,               0.005182,               0.005182
                    148,                0.39892,                0.28007,                0.84962,                0.86849,                0.73383,                0.84394,                0.45003,                  1.764,                 0.8968,                 1.8282,               0.005149,               0.005149,               0.005149
                    149,                0.42672,                  0.292,                 0.8476,                0.81654,                0.77712,                0.83239,                0.46707,                 1.6818,                0.86139,                 1.8078,               0.005116,               0.005116,               0.005116
                    150,                0.42148,                0.28782,                0.84454,                0.86991,                0.74306,                0.82405,                0.46304,                 1.6679,                0.82794,                 1.8006,               0.005083,               0.005083,               0.005083
                    151,                0.42456,                0.30375,                0.84768,                0.80701,                0.73012,                0.77086,                0.41264,                  1.854,                0.98062,                 1.9484,                0.00505,                0.00505,                0.00505
                    152,                0.41078,                 0.2955,                0.84711,                0.82386,                0.74603,                0.78404,                0.43136,                 1.7884,                0.82967,                 1.8575,               0.005017,               0.005017,               0.005017
